,accepted_species,native_tdwg3_codes
175232,Andropogon hypogynus,"('AGE', 'BOL', 'BZC', 'BZL', 'BZN', 'BZS', 'CLM', 'PAR', 'VEN')"
175236,Panicum stramineum,"('AGE', 'AGW', 'ARI', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'MXE', 'MXN', 'MXS', 'MXT', 'NWM', 'PAR', 'PER', 'VEN')"
175272,Triplaris dugandii,"('BZN', 'CLM', 'ECU', 'PER')"
175276,Cyathea frondosa,"('CLM', 'ECU', 'PER')"
175317,Anthurium galactospadix,"('BZN', 'CLM', 'PER')"
175324,Anthurium nitidum,"('CLM',)"
175327,Anthurium peltigerum,"('CLM', 'ECU')"
175329,Anthurium riparium,"('CLM',)"
175330,Anthurium subcarinatum,"('CLM', 'ECU')"
175331,Anthurium subhastatum,"('CLM',)"
175332,Anthurium tolimense,"('CLM',)"
175348,Anthurium pedrazae,"('CLM',)"
175375,Cordia diversifolia,"('BLZ', 'CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN')"
175379,Anthurium miriamiae,"('CLM',)"
175381,Cordia caucana,"('CLM',)"
175386,Oncidium brevilabrum,"('CLM',)"
175401,Anthurium herrerae,"('CLM',)"
175402,Anthurium pazii,"('CLM',)"
175433,Cyathea darienensis,"('CLM', 'PAN')"
175434,Cyathea patens,"('CLM',)"
175439,Cyathea longipetiolulata,"('CLM',)"
175480,Ornithocephalus kalbreyerianus,"('CLM',)"
175500,Tripsacum andersonii,"('BZC', 'BZE', 'BZL', 'CLM', 'COS', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXT', 'NIC', 'PAN', 'SUR', 'VEN')"
175510,Oxandra polyantha,"('BZN', 'CLM', 'ECU', 'PER')"
175511,Oxandra oblongifolia,"('CLM',)"
175535,Anthurium dairon-cardenasii,"('CLM',)"
175541,Pariana trichosticha,"('BZN', 'CLM', 'ECU', 'PAN', 'PER', 'VEN')"
175553,Cuphea tetrapetala,"('CLM', 'ECU', 'MXG', 'MXS', 'MXT')"
175561,Anthurium brownii,"('CLM', 'COS', 'ECU', 'PAN', 'VEN')"
175564,Anthurium fragrantissimum,"('CLM', 'PAN')"
175569,Anthurium oxycarpum,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
175571,Anthurium ptarianum,"('BZN', 'CLM', 'GUY', 'VEN')"
175574,Anthurium testaceum,"('CLM', 'COS', 'ECU', 'HON', 'PAN')"
175579,Asplundia domingensis,"('CLM', 'ECU')"
175580,Asplundia flavovaginata,"('BZN', 'CLM', 'COS', 'PAN', 'PER', 'VEN')"
175593,Pentagonia carniflora,"('CLM',)"
175608,Chamaecrista almanegra,"('CLM',)"
175638,Oncidium caucanum,"('CLM',)"
175647,Amanoa glaucophylla,"('BZC', 'BZE', 'BZN', 'CLM', 'VEN')"
175657,Anthurium planadense,"('CLM',)"
175663,Tauschia vaginata,"('CLM', 'GUA', 'MXC', 'MXS', 'MXT', 'VEN')"
175666,Psittacanthus micrantherus,"('CLM',)"
175667,Psittacanthus ophiocephalus,"('CLM',)"
175676,Endlicheria tessmannii,"('CLM', 'ECU', 'PER', 'VEN')"
175678,Endlicheria xerampela,"('CLM',)"
175724,Oncidium abortivum,"('CLM', 'ECU', 'PER', 'VEN')"
175725,Oncidium cheirophorum,"('CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXT', 'NIC', 'PAN')"
175728,Oncidium picturatum,"('CLM', 'VEN')"
175729,Oncidium tectum,"('CLM',)"
175730,Ornithocephalus gladiatus,"('BOL', 'BZE', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'TRT', 'VEN', 'WIN')"
175740,Anthurium anchicayense,"('CLM',)"
175751,Pariana simulans,"('BZN', 'CLM', 'PAN', 'VEN')"
175794,Endlicheria bracteolata,"('BZN', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
175801,Tagetes terniflora,"('AGW', 'BOL', 'CLM', 'ECU', 'PER', 'VEN')"
175806,Cordia nicandroides,"('CLM',)"
175807,Anthurium caquetense,"('CLM',)"
175809,Anthurium cirinoi,"('CLM',)"
175834,Anthurium citrifolium,"('CLM', 'ECU', 'PER')"
175843,Anthurium nigropunctatum,"('CLM', 'ECU', 'PER')"
175844,Anthurium pendulifolium,"('CLM', 'ECU', 'PER')"
175849,Anthurium yarumalense,"('CLM',)"
175851,Lucuma rivicoa,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'FRG', 'PER', 'SUR')"
175857,Oncidium obstipum,"('CLM',)"
175878,Cyathea pilozana,"('CLM',)"
175898,Tradescantia gracillima,"('CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
175903,Oncidium bracteatum,"('CLM', 'COS', 'PAN')"
175906,Clavija engelsii,"('CLM',)"
175907,Clavija minor,"('CLM', 'VEN')"
175915,Schizocalyx obovatus,"('BOL', 'CLM', 'PER')"
175926,Psittacanthus bolbocephalus,"('BZE', 'CLM')"
175944,Anthurium habitense,"('CLM',)"
175956,Cordia bicolor,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'COS', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
175972,Psittacanthus verticillatus,"('CLM',)"
176018,Oxandra panamensis,"('CLM', 'NIC', 'PAN')"
176031,Cyathea rengifoi,"('CLM',)"
176058,Oncidium endocharis,"('CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXT')"
176070,Anthurium caperatum,"('CLM', 'COS', 'PAN')"
176076,Anthurium dolichostachyum,"('CLM', 'ECU')"
176077,Anthurium draconopterum,"('CLM', 'ECU')"
176081,Anthurium guayaquilense,"('CLM', 'ECU')"
176088,Anthurium warocqueanum,"('CLM',)"
176091,Asplundia ewanii,"('CLM', 'ECU')"
176107,Pachyloma setosum,"('CLM', 'VEN')"
176134,Cyathea multiflora,"('CLM', 'COS', 'GUA', 'HON', 'NIC', 'PAN')"
176139,Anthurium pseudoclavigerum,"('CLM', 'ECU', 'PER')"
176148,Oncidium abruptum,"('CLM', 'ECU')"
176149,Oncidium adelaidae,"('CLM',)"
176160,Anthurium pendulispadix,"('CLM', 'ECU')"
176173,Psittacanthus sulcatus,"('CLM',)"
176196,Cyathea pallescens,"('CLM', 'ECU', 'PER')"
176212,Anthurium peregrinense,"('CLM',)"
176247,Oncidium millianum,"('CLM',)"
176251,Pentagonia wurdackii,"('BZN', 'CLM', 'ECU', 'PER')"
176252,Schizocalyx bracteosa,"('CLM', 'ECU', 'PER')"
176257,Anthurium grandicataphyllum,"('CLM',)"
176258,Anthurium pallidicaudex,"('CLM',)"
176281,Anthurium rosselianum,"('CLM',)"
176303,Cuphea saxatilis,"('CLM',)"
176314,Anthurium langendoenii,"('CLM',)"
176315,Anthurium lautum,"('CLM',)"
176323,Cordia colombiana,"('CLM', 'ECU')"
176344,Anthurium alegriasense,"('CLM',)"
176347,Anthurium brachypodum,"('CLM', 'ECU')"
176350,Anthurium corrugatum,"('CLM', 'ECU', 'PAN')"
176352,Anthurium longistamineum,"('CLM',)"
176353,Anthurium nigrescens,"('CLM', 'ECU', 'PER', 'VEN')"
176359,Anthurium punctatum,"('CLM', 'ECU')"
176360,Anthurium ravenii,"('CLM', 'COS', 'ECU', 'HON', 'NIC', 'PAN')"
176385,Viola scandens,"('CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXG', 'MXS', 'MXT', 'PAN', 'PER', 'VEN')"
176411,Cyathea tortuosa,"('CLM', 'ECU', 'PER')"
176421,Oncidium luteum,"('CLM', 'COS', 'PAN')"
176424,Clavija grandis,"('CLM',)"
176425,Clavija lehmannii,"('CLM',)"
176429,Monotagma tomentosum,"('BZC', 'BZN', 'CLM', 'PER', 'VEN')"
176439,Pentagonia chocoensis,"('CLM',)"
176443,Anthurium lutheri,"('CLM', 'ECU')"
176448,Psittacanthus crassinervis,"('CLM',)"
176457,Endlicheria lorastemon,"('BZN', 'CLM', 'ECU')"
176462,Anthurium pacevedoi,"('CLM',)"
176466,Aetheolaena involucrata,"('CLM', 'ECU', 'PER')"
176473,Lomariopsis vestita,"('BLZ', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXS', 'MXT', 'NIC', 'PAN')"
176500,Brassia escobariana,"('CLM',)"
176503,Lucuma bifera,"('BOL', 'CLM', 'CLN', 'ECU', 'PER')"
176511,Oncidium pentadactylon,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
176512,Oncidium pictum,"('CLM', 'ECU', 'PER', 'VEN')"
176519,Anthurium debile,"('CLM',)"
176526,Anthurium hinoideum,"('CLM',)"
176527,Anthurium wintersii,"('CLM',)"
176539,Anthurium munchiquense,"('CLM',)"
176540,Anthurium renteriae,"('CLM',)"
176545,Viola fruticosa,"('CLM',)"
176554,Cuphea strigulosa,"('BZC', 'BZE', 'BZL', 'CLM', 'ECU', 'PAR', 'PER', 'VEN')"
176556,Cyathea aristata,"('CLM', 'MXG', 'MXS')"
176567,Anthurium venadoense,"('CLM',)"
176569,Oncidium kegeljanii,"('CLM', 'ECU', 'PER', 'VEN')"
176570,Pentagonia tapacula,"('CLM',)"
176573,Pariana tenuis,"('BZN', 'CLM')"
176580,Anacardium parvifolium,"('BZN', 'CLM', 'PER')"
176581,Oncidium trachycaulon,"('CLM', 'ECU')"
176595,Anthurium hygrophilum,"('CLM',)"
176599,Anthurium longicaudatum,"('CLM', 'ECU')"
176603,Anthurium obtusilobum,"('CLM', 'COS', 'ECU')"
176606,Anthurium stuebelii,"('CLM', 'PER')"
176610,Anthurium tikunorum,"('CLM',)"
176613,Anthurium vomeriforme,"('CLM', 'ECU')"
176614,Anthurium wallisii,"('CLM',)"
176621,Jacquemontia elegans,"('CLM', 'ECU', 'PER')"
176622,Anthurium hempeanum,"('CLM',)"
176623,Anthurium espiranzaense,"('CLM',)"
176669,Clavija fusca,"('CLM', 'PAN')"
176688,Anthurium gracilistipum,"('CLM', 'ECU')"
176701,Endlicheria directonervia,"('BZN', 'CLM', 'PER', 'VEN')"
176712,Anthurium bantanum,"('CLM',)"
176717,Anthurium prominor,"('CLM',)"
176723,Hyperbaena smilacina,"('CLM', 'COS', 'NIC')"
176744,Oncidium ornithorhynchum,"('CLM', 'ECU', 'PER')"
176782,Anthurium cocornaense,"('CLM',)"
176786,Oncidium anguloi,"('CLM',)"
176807,Cuphea sordida,"('CLM', 'PAN')"
176815,Anthurium gruesoi,"('CLM',)"
176827,Asplundia sanctae-ritae,"('CLM', 'COS', 'PAN')"
176836,Oncidium rodrigoi,"('CLM',)"
176838,Oncidium hyphaematicum,"('CLM', 'ECU', 'PER')"
176842,Cuphea antisyphilitica,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'FRG', 'GUY', 'PAR', 'PER', 'SUR', 'VEN')"
176846,Cuphea setosa,"('BOL', 'CLM', 'ECU', 'MXG', 'MXS', 'PAN', 'PER', 'TRT', 'VEN')"
176852,Anthurium caucanum,"('CLM', 'ECU')"
176854,Anthurium clavigerum,"('BOL', 'BZC', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUY', 'HON', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
176856,Anthurium denudatum,"('CLM',)"
176857,Anthurium dwyeri,"('CLM', 'COS', 'PAN')"
176860,Anthurium hacumense,"('CLM', 'COS', 'PAN')"
176861,Anthurium humboldtianum,"('CLM', 'VEN')"
176862,Anthurium interruptum,"('BLZ', 'BOL', 'CLM', 'COS', 'ECU', 'GUA', 'NIC', 'PAN', 'PER')"
176874,Anthurium trianae,"('CLM',)"
176875,Anthurium trisectum,"('CLM', 'COS', 'ECU', 'PAN')"
176924,Cyathea williamsii,"('CLM', 'ECU', 'PAN')"
176937,Clavija costaricana,"('CLM', 'COS', 'NIC', 'PAN')"
176939,Clavija weberbaueri,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
176957,Anthurium aciculare,"('CLM', 'ECU')"
176962,Psittacanthus ternatus,"('CLM', 'PER')"
176991,Cuphea paradoxa,"('CLM', 'VEN')"
176994,Lomariopsis nigro-paleata,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
177033,Oncidium obryzatoides,"('CLM', 'COS', 'ECU', 'PAN')"
177035,Ornithocephalus micranthus,"('CLM',)"
177052,Pariana maynensis,"('BZN', 'CLM', 'PAN', 'VEN')"
177059,Poa orthophylla,"('CLM',)"
177064,Anthurium angelopolisense,"('CLM',)"
177065,Anthurium ramosii,"('CLM',)"
177091,Cyathea cardenasii,"('CLM',)"
177109,Cordia dwyeri,"('CLM', 'COS', 'ECU', 'NIC', 'PAN')"
177111,Cordia lutea,"('CLM', 'ECU', 'GAL', 'PER')"
177113,Cuphea decandra,"('BLZ', 'CLM', 'CUB', 'DOM', 'GUA', 'HAI', 'HON', 'JAM', 'MXE', 'MXG', 'MXS', 'MXT')"
177125,Anthurium bogotense,"('CLM',)"
177127,Anthurium cabrerense,"('CLM',)"
177132,Anthurium dressleri,"('CLM', 'PAN')"
177139,Anthurium macrocephalum,"('CLM',)"
177144,Anthurium polyschistum,"('BOL', 'CLM', 'ECU')"
177145,Anthurium purdieanum,"('CLM',)"
177147,Anthurium sodiroanum,"('CLM', 'ECU')"
177150,Anthurium tenerum,"('CLM', 'COS')"
177152,Asplundia longitepala,"('CLM', 'COS', 'PAN')"
177153,Anthurium rotundatum,"('CLM', 'COS', 'PAN')"
177169,Psittacanthus corderoi,"('CLM',)"
177170,Pachyloma coriaceum,"('BZN', 'CLM', 'GUY')"
177171,Pachyloma pusillum,"('CLM', 'VEN')"
177181,Cyathea gracilis,"('CLM', 'COS', 'ECU', 'JAM', 'NIC', 'PAN')"
177185,Clavija sanctae-martae,"('CLM',)"
177186,Cordia crassifolia,"('CLM', 'ECU')"
177194,Cuphea chiribiquetea,"('CLM',)"
177199,Anthurium longistrorsum,"('CLM', 'ECU', 'PER')"
177202,Asplundia vagans,"('BOL', 'CLM', 'COS', 'ECU', 'GUA', 'NIC', 'PAN', 'PER', 'VEN')"
177203,Asplundia xiphophylla,"('BZN', 'CLM', 'PER', 'VEN')"
177209,Clavija laplanadae,"('CLM',)"
177234,Psittacanthus geniculatus,"('BZN', 'CLM', 'PER')"
177250,Anthurium viridiflavum,"('CLM',)"
177298,Brassia arcuigera,"('CLM', 'COS', 'ECU', 'HON', 'PAN', 'PER', 'VEN')"
177299,Brassia lanceana,"('BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'TRT', 'VEN')"
177311,Oncidium boothianum,"('BZN', 'CLM', 'ECU', 'VEN')"
177312,Oncidium hapalotyle,"('CLM', 'ECU')"
177314,Pentagonia spathicalyx,"('BZN', 'CLM', 'ECU', 'PER')"
177323,Asplundia allenii,"('CLM', 'PAN')"
177328,Anthurium oxyanthum,"('CLM',)"
177345,Anthurium sierpense,"('CLM',)"
177353,Tradescantia praetermissa,"('CLM', 'ECU', 'PER')"
177354,Anthurium combeimense,"('CLM',)"
177374,Cyathea boconensis,"('CLM', 'VEN')"
177378,Cyathea pacis,"('CLM',)"
177395,Pentagonia magnifica,"('CLM',)"
177396,Pentagonia pinnatifida,"('CLM', 'PAN')"
177410,Anthurium bonplandii,"('BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
177411,Anthurium colonicum,"('CLM', 'PAN')"
177412,Anthurium flavoviride,"('CLM',)"
177414,Anthurium glanduligerum,"('CLM',)"
177415,Anthurium johnsoniae,"('CLM',)"
177416,Anthurium laciniosum,"('CLM', 'ECU')"
177418,Anthurium lehmannii,"('CLM',)"
177422,Anthurium pulchellum,"('CLM',)"
177423,Anthurium ramonense,"('CLM', 'COS', 'NIC', 'PAN')"
177424,Anthurium reticulatum,"('CLM',)"
177435,Asplundia pycnantha,"('CLM', 'ECU')"
177438,Anthurium frontinoense,"('CLM',)"
177467,Cordia protracta,"('CLM', 'PAN')"
177469,Osmunda spectabilis,"('AGE', 'AGW', 'ALA', 'ARK', 'BAH', 'BER', 'BOL', 'BZC', 'BZE', 'BZL', 'BZS', 'CLM', 'CNT', 'COS', 'CUB', 'DEL', 'ECU', 'FLA', 'GEO', 'GUA', 'HON', 'ILL', 'INI', 'IOW', 'JAM', 'KAN', 'KTY', 'LOU', 'MAI', 'MAN', 'MAS', 'MIC', 'MIN', 'MRY', 'MSI', 'MSO', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NBR', 'NCA', 'NFL', 'NIC', 'NSC', 'NWH', 'NWJ', 'NWY', 'OHI', 'OKL', 'ONT', 'PAR', 'PEI', 'PEN', 'PER', 'QUE', 'RHO', 'SCA', 'TEN', 'TEX', 'URU', 'VEN', 'VER', 'VRG', 'WDC', 'WIS', 'WVA')"
177474,Anthurium omarescobarii,"('CLM',)"
177487,Cordia sericicalyx,"('BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'FRG', 'GUY', 'PAN', 'SUR', 'TRT', 'VEN')"
177502,Anthurium carlablackiae,"('CLM', 'PAN')"
177508,Psittacanthus microphyllus,"('CLM',)"
177515,Viola veronicifolia,"('CLM', 'ECU')"
177520,Endlicheria gracilis,"('BOL', 'BZE', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
177522,Anthurium coquiense,"('CLM',)"
177526,Cyathea leucolepismata,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
177625,Clavija biborrana,"('CLM', 'COS', 'PAN')"
177626,Clavija fernandezii,"('CLM',)"
177631,Ida castanea,"('CLM', 'ECU', 'PER')"
177659,Endlicheria canescens,"('BOL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
177670,Anthurium cardenasii,"('CLM',)"
177671,Anthurium espinae,"('CLM',)"
177680,Anthurium colonense,"('CLM', 'PAN')"
177684,Anthurium hutchisonii,"('CLM', 'PAN')"
177686,Anthurium maximum,"('CLM',)"
177687,Anthurium nymphaeifolium,"('CLM', 'VEN')"
177688,Anthurium ochranthum,"('CLM', 'COS', 'HON', 'NIC', 'PAN')"
177690,Anthurium ovatifolium,"('CLM', 'ECU', 'PER')"
177691,Anthurium oxybelium,"('CLM', 'ECU', 'PER')"
177696,Anthurium trilobum,"('CLM', 'ECU', 'PAN')"
177697,Anthurium truncatulum,"('CLM',)"
177698,Anthurium veitchii,"('CLM',)"
177704,Poa colombiana,"('CLM', 'ECU')"
177739,Anthurium decipiens,"('CLM',)"
177755,Monotagma ulei,"('BZN', 'CLM', 'FRG')"
177775,Anthurium miritiparanaense,"('CLM',)"
177780,Psittacanthus antioquiensis,"('CLM',)"
177794,Anthurium certeguense,"('CLM',)"
177833,Brassia keiliana,"('CLM', 'GUY', 'VEN')"
177842,Oncidium lineoligerum,"('CLM', 'COS', 'ECU', 'HON', 'NIC', 'PAN', 'PER')"
177843,Oncidium massangei,"('CLM',)"
177844,Oncidium toachicum,"('CLM', 'ECU')"
177854,Anthurium licium,"('CLM',)"
177855,Anthurium subaequans,"('CLM',)"
177856,Ida grandis,"('CLM', 'ECU', 'PER', 'VEN')"
177861,Anthurium coleorrhiza,"('CLM',)"
177862,Anthurium lygrum,"('CLM',)"
177863,Pariana setosa,"('CLM', 'ECU')"
177870,Poa pauciflora,"('CLM', 'ECU', 'PER', 'VEN')"
177910,Psittacanthus longerectus,"('CLM',)"
177914,Anthurium cotejense,"('CLM',)"
177937,Cuphea melvilla,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'FRG', 'GUY', 'PAR', 'PER', 'VEN')"
177944,Anthurium aureum,"('CLM', 'ECU', 'PER')"
177946,Anthurium caramantae,"('CLM',)"
177948,Anthurium funiferum,"('CLM',)"
177951,Anthurium harlingianum,"('BOL', 'CLM', 'ECU', 'PER')"
177952,Anthurium longispadiceum,"('CLM', 'ECU', 'PER')"
177958,Anthurium pulverulentum,"('CLM', 'ECU')"
177961,Anthurium sarmentosum,"('CLM', 'ECU')"
178002,Cyathea squamipes,"('CLM', 'PER', 'VEN')"
178020,Oxandra bolivarensis,"('CLM',)"
178029,Anthurium apiaense,"('CLM',)"
178032,Anthurium gerherrerae,"('CLM',)"
178065,Flosmutisia paramicola,"('CLM',)"
178107,Lucuma arguacoensium,"('CLM',)"
178134,Anthurium holquinianum,"('CLM',)"
178157,Anthurium sanjorgense,"('CLM',)"
178175,Endlicheria arenosa,"('BZN', 'CLM', 'VEN')"
178176,Endlicheria citriodora,"('CLM', 'PER')"
178190,Anthurium alstonii,"('CLM',)"
178208,Cuphea sucumbiensis,"('CLM', 'ECU')"
178217,Anthurium bakeri,"('BLZ', 'CLM', 'COS', 'ECU', 'GUA', 'GUY', 'HON', 'MXT', 'NIC', 'PAN', 'VEN')"
178219,Anthurium chorense,"('CLM',)"
178222,Anthurium crassivenium,"('CLM',)"
178224,Anthurium fatoense,"('CLM', 'COS', 'PAN')"
178225,Anthurium glaucospadix,"('CLM',)"
178231,Anthurium monticola,"('CLM', 'ECU', 'PAN')"
178237,Anthurium roseospadix,"('CLM', 'COS', 'PAN')"
178239,Anthurium viridescens,"('CLM', 'ECU')"
178290,Cordia toqueve,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PAN', 'PER', 'VEN')"
178295,Cyathea ebenina,"('CLM', 'ECU', 'PER', 'VEN')"
178297,Cyathea poeppigii,"('BOL', 'BZC', 'BZL', 'BZS', 'CLM', 'COS', 'ECU', 'PAN', 'PAR', 'PER', 'VEN')"
178317,Clavija cauliflora,"('CLM',)"
178318,Cordia mexiana,"('CLM', 'ECU', 'PER')"
178321,Amanoa nanayensis,"('BZN', 'CLM', 'PER')"
178322,Bixa urucurana,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
178335,Anthurium terracola,"('CLM', 'ECU')"
178336,Anthurium protrudens,"('CLM',)"
178364,Chrysosplenium aulacocarpum,"('CLM', 'VEN')"
178416,Oncidium bryocladium,"('CLM',)"
178419,Oncidium obryzatum,"('CLM', 'ECU', 'PAN', 'PER', 'VEN')"
178420,Oncidium orthotis,"('CLM', 'ECU', 'PER')"
178421,Oncidium saxicola,"('CLM',)"
178434,Anthurium calimense,"('CLM',)"
178446,Pentagonia lanciloba,"('CLM', 'ECU')"
178447,Anthurium yatacuense,"('CLM',)"
178462,Endlicheria acuminata,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
178467,Cyathea armata,"('CLM', 'CUB', 'HAI', 'JAM', 'PUE')"
178468,Cyathea hemiepiphytica,"('CLM', 'ECU')"
178478,Anthurium matabanchoyae,"('CLM',)"
178480,Anthurium florenciense,"('CLM',)"
178489,Asplundia peruviana,"('CLM', 'ECU', 'PER')"
178518,Anthurium carinatum,"('CLM',)"
178519,Anthurium concolor,"('CLM', 'PAN')"
178520,Anthurium cupreum,"('CLM',)"
178522,Anthurium deflexum,"('CLM', 'VEN')"
178525,Anthurium infectorium,"('CLM',)"
178526,Anthurium inzanum,"('CLM',)"
178528,Anthurium nemoricola,"('CLM',)"
178529,Anthurium pentaphyllum,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'SUR', 'TRT', 'VEN')"
178531,Anthurium quinquenervium,"('CLM',)"
178538,Anthurium talamancae,"('CLM', 'COS', 'PAN')"
178544,Asplundia schizotepala,"('BZN', 'CLM', 'ECU', 'PER')"
178550,Anthurium alcogolloi,"('CLM',)"
178577,Cyathea planadae,"('BOL', 'CLM')"
178578,Cyathea ewanii,"('CLM', 'ECU')"
178584,Cordia dentata,"('ARU', 'BLZ', 'BOL', 'CLM', 'COS', 'CUB', 'DOM', 'ELS', 'FRG', 'GUA', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'NLA', 'PAN', 'TRT', 'VEN', 'VNA', 'WIN')"
178611,Cordia tetrandra,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN', 'WIN')"
178624,Anthurium nestorpazii,"('CLM',)"
178625,Anthurium restrepoae,"('CLM',)"
178664,Cuphea repens,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
178689,Brassia neglecta,"('BOL', 'CLM', 'ECU', 'GUY', 'PER', 'VEN')"
178710,Anthurium hodgei,"('CLM',)"
178715,Anthurium barreranum,"('CLM',)"
178734,Anthurium dylanii,"('CLM',)"
178735,Anthurium pulidoae,"('CLM',)"
178736,Anthurium suramaense,"('CLM',)"
178753,Cuphea killipii,"('CLM',)"
178756,Cyathea meridensis,"('CLM', 'ECU', 'PER', 'VEN')"
178759,Cyathea andaquiensis,"('CLM',)"
178770,Anthurium isidroense,"('CLM',)"
178777,Amphilophium aschersonii,"('BOL', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
178798,Anthurium brevipes,"('CLM', 'ECU')"
178799,Anthurium cupulispathum,"('CLM', 'ECU')"
178802,Anthurium formosum,"('CLM', 'COS', 'NIC', 'PAN', 'VEN')"
178804,Anthurium guanacense,"('CLM',)"
178809,Anthurium margaricarpum,"('CLM', 'ECU')"
178821,Anthurium triangulopetiolum,"('CLM',)"
178841,Cyathea aemula,"('CLM', 'ECU')"
178864,Oncidium lentiginosum,"('CLM', 'VEN')"
178872,Clavija serratifolia,"('CLM',)"
178896,Psittacanthus rotundatus,"('CLM',)"
178918,Lomariopsis latipinna,"('CLM', 'ECU', 'PER')"
178945,Brassia ocanensis,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
178967,Anthurium acanthospadix,"('CLM',)"
178970,Ida rikii,"('CLM',)"
178977,Anthurium bayae,"('CLM',)"
178996,Agrostopoa barclayae,"('CLM',)"
178998,Anthurium libanoense,"('CLM',)"
178999,Anthurium novitaense,"('CLM',)"
179048,Anthurium alticola,"('CLM', 'COS', 'PAN')"
179049,Anthurium angustisectum,"('CLM',)"
179051,Anthurium buganum,"('CLM', 'ECU')"
179063,Anthurium pendens,"('CLM', 'PAN')"
179064,Anthurium pluviaticum,"('CLM',)"
179066,Anthurium salvinii,"('CLM', 'COS', 'GUA', 'HON', 'MXT', 'NIC', 'PAN')"
179095,Pachyloma huberioides,"('BZN', 'CLM', 'VEN')"
179134,Oncidium acinaceum,"('CLM', 'ECU', 'PER')"
179135,Oncidium citrinum,"('CLM', 'TRT', 'VEN')"
179141,Amanoa tolimensis,"('CLM',)"
179160,Anthurium siapidaarae,"('CLM',)"
179161,Anthurium leptos,"('CLM',)"
179162,Psittacanthus complanatus,"('CLM',)"
179177,Endlicheria vinotincta,"('CLM', 'VEN')"
179190,Cuphea odonellii,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
179208,Monotagma tuberosum,"('BOL', 'BZN', 'CLM', 'PER')"
179228,Brassia allenii,"('CLM', 'HON', 'PAN')"
179246,Oncidium maizifolium,"('CLM', 'VEN')"
179260,Anthurium ceronii,"('CLM', 'ECU', 'PER')"
179261,Anthurium cylindratum,"('CLM',)"
