,example_compound_name,InChIKey,InChIKey_simp,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family
1969,22-O-Methylprotodioscin,HSSJYSJXBOCKQM-LXNCCRCLSA-N,HSSJYSJXBOCKQM,Dioscorea pseudojaponica,Dioscorea pseudojaponica,Dioscorea pseudojaponica Hayata,Dioscorea pseudojaponica,Dioscoreaceae
1981,Asperin,OZIHYFWYFUSXIS-KORJSKJVSA-N,OZIHYFWYFUSXIS,Dioscorea pseudojaponica,Dioscorea pseudojaponica,Dioscorea pseudojaponica Hayata,Dioscorea pseudojaponica,Dioscoreaceae
1797,Collettiside III,VNONINPVFQTJOC-ZGXDEBHDSA-N,VNONINPVFQTJOC,Dioscorea pseudojaponica,Dioscorea pseudojaponica,Dioscorea pseudojaponica Hayata,Dioscorea pseudojaponica,Dioscoreaceae
1849,Gracillin,YQEMAEKYNNOCBY-IEMDQPGHSA-N,YQEMAEKYNNOCBY,Dioscorea pseudojaponica,Dioscorea pseudojaponica,Dioscorea pseudojaponica Hayata,Dioscorea pseudojaponica,Dioscoreaceae
1973,Methyl protogracillin,LOSNTJHBTWBJCC-OOVOOHTRSA-N,LOSNTJHBTWBJCC,Dioscorea pseudojaponica,Dioscorea pseudojaponica,Dioscorea pseudojaponica Hayata,Dioscorea pseudojaponica,Dioscoreaceae
1823,Diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,WQLVFSAGQJTQCK,Dioscorea remotiflora,Dioscorea remotiflora,Dioscorea remotiflora Kunth,Dioscorea remotiflora,Dioscoreaceae
1742,Batatasin I,KGYHMWVRKYFQQR-UHFFFAOYSA-N,KGYHMWVRKYFQQR,Dioscorea sansibarensis,Dioscorea sansibarensis,Dioscorea sansibarensis Pax,Dioscorea sansibarensis,Dioscoreaceae
1947,Batatasin II,CWSITSYPUXRHCS-UHFFFAOYSA-N,CWSITSYPUXRHCS,Dioscorea sansibarensis,Dioscorea sansibarensis,Dioscorea sansibarensis Pax,Dioscorea sansibarensis,Dioscoreaceae
1796,Collettiside III,VNONINPVFQTJOC-ZGXDEBHDSA-N,VNONINPVFQTJOC,Dioscorea parviflora,Dioscorea saxatilis,Dioscorea saxatilis Poepp.,Dioscorea saxatilis,Dioscoreaceae
1782,Deltonin,OLAMGHNQGZIWHZ-YIKYYZBWSA-N,OLAMGHNQGZIWHZ,Dioscorea parviflora,Dioscorea saxatilis,Dioscorea saxatilis Poepp.,Dioscorea saxatilis,Dioscoreaceae
1786,Deltoside,RPYHJEFMMXMMHG-AATSBFCISA-N,RPYHJEFMMXMMHG,Dioscorea parviflora,Dioscorea saxatilis,Dioscorea saxatilis Poepp.,Dioscorea saxatilis,Dioscoreaceae
1826,Diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,WQLVFSAGQJTQCK,Dioscorea parviflora,Dioscorea saxatilis,Dioscorea saxatilis Poepp.,Dioscorea saxatilis,Dioscoreaceae
1847,Gracillin,YQEMAEKYNNOCBY-IEMDQPGHSA-N,YQEMAEKYNNOCBY,Dioscorea parviflora,Dioscorea saxatilis,Dioscorea saxatilis Poepp.,Dioscorea saxatilis,Dioscoreaceae
1965,Methyl parvifloside,XOWJJLXQZQKLIS-RRYCUNFRSA-N,XOWJJLXQZQKLIS,Dioscorea parviflora,Dioscorea saxatilis,Dioscorea saxatilis Poepp.,Dioscorea saxatilis,Dioscoreaceae
1986,Parvifloside,GJVYYBVWPSQRTC-MEIWCCOHSA-N,GJVYYBVWPSQRTC,Dioscorea parviflora,Dioscorea saxatilis,Dioscorea saxatilis Poepp.,Dioscorea saxatilis,Dioscoreaceae
1880,Yamogenin,WQLVFSAGQJTQCK-CAKNJAFZSA-N,WQLVFSAGQJTQCK,Dioscorea parviflora,Dioscorea saxatilis,Dioscorea saxatilis Poepp.,Dioscorea saxatilis,Dioscoreaceae
1759,(+)-Lirioresinol B,KOWMJRJXZMEZLD-HCIHMXRSSA-N,KOWMJRJXZMEZLD,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1967,22-O-Methylprotodioscin,HSSJYSJXBOCKQM-LXNCCRCLSA-N,HSSJYSJXBOCKQM,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1953,3-O-beta-D-Glucopyranosyl sitosterol,NPJICTMALKLTFW-OFUAXYCQSA-N,NPJICTMALKLTFW,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1798,Collettiside III,VNONINPVFQTJOC-ZGXDEBHDSA-N,VNONINPVFQTJOC,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1961,Dioscoreside D,OJBSJPFDQZUALV-GCQQLHRSSA-N,OJBSJPFDQZUALV,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1964,Glycoside D,KNZSXKKCTOYLSV-VHHWNNOGSA-N,KNZSXKKCTOYLSV,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1848,Gracillin,YQEMAEKYNNOCBY-IEMDQPGHSA-N,YQEMAEKYNNOCBY,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1858,Protogracillin,GMCGZPQYTRHQRU-DKWQWWTLSA-N,GMCGZPQYTRHQRU,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1952,Sesaminone,RZIWMSJDPYUACC-LRDNONRASA-N,RZIWMSJDPYUACC,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1999,Spongioside A,CMVKGKGHOKTWFO-AGMTUBSVSA-N,CMVKGKGHOKTWFO,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
2000,Spongioside B,LTDYJAJKLBEZOH-SANGXADOSA-N,LTDYJAJKLBEZOH,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
2001,Spongipregnoloside A,RNGPDKGOULTCGD-KVQIRICTSA-N,RNGPDKGOULTCGD,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
2002,Spongipregnoloside B,JQFWUNNBRBJPRS-WYSHLAQCSA-N,JQFWUNNBRBJPRS,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
2003,Spongipregnoloside C,NDEUIBHHZWDISF-PJNQXHPLSA-N,NDEUIBHHZWDISF,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
2004,Spongipregnoloside D,OVNISBFHKJPJTA-XOFOKJNHSA-N,OVNISBFHKJPJTA,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
2005,Trigofoenoside D-1,LOSNTJHBTWBJCC-OCFNRMRNSA-N,LOSNTJHBTWBJCC,Dioscorea spongiosa,Dioscorea spongiosa,"Dioscorea spongiosa J.Q.Xi, M.Mizuno & W.L.Zhao",Dioscorea spongiosa,Dioscoreaceae
1821,Diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,WQLVFSAGQJTQCK,Dioscorea subtomentosa,Dioscorea subtomentosa,Dioscorea subtomentosa Miranda,Dioscorea subtomentosa,Dioscoreaceae
1800,Collettiside III,VNONINPVFQTJOC-ZGXDEBHDSA-N,VNONINPVFQTJOC,Dioscorea tokoro Makino.,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1819,Diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,WQLVFSAGQJTQCK,Dioscorea tokoro Makino.,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1835,Gitogenin,FWCXELAAYFYCSR-RYKNUXCGSA-N,FWCXELAAYFYCSR,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
2009,Igagenin,OQTHMXQOIPMBIV-JZRZCPCXSA-N,OQTHMXQOIPMBIV,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
2011,Kammogenin,VSDHOXTXGGJBPB-CIKVEIHBSA-N,VSDHOXTXGGJBPB,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
2012,Kogagenin,OJOIREGWGDMNGQ-JTIIPYGKSA-N,OJOIREGWGDMNGQ,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
2033,Neochlorogenin,PZNPHSFXILSZTM-IJPYDKLFSA-N,PZNPHSFXILSZTM,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1854,Protodioscin,LVTJOONKWUXEFR-UEZXSUPNSA-N,LVTJOONKWUXEFR,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1862,Protogracillin,GMCGZPQYTRHQRU-DKWQWWTLSA-N,GMCGZPQYTRHQRU,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1867,Smilagenin,GMBQZIIUCVWOCD-UQHLGXRBSA-N,GMBQZIIUCVWOCD,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1869,Tigogenin,GMBQZIIUCVWOCD-MFRNJXNGSA-N,GMBQZIIUCVWOCD,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
2044,Tokorogenin,SRTGQBIWSBCVSM-JYBGDFTBSA-N,SRTGQBIWSBCVSM,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1870,Tokoronin,GZMNAJUVLAIUAJ-QULIKHEVSA-N,GZMNAJUVLAIUAJ,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1879,Yamogenin,WQLVFSAGQJTQCK-CAKNJAFZSA-N,WQLVFSAGQJTQCK,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
2043,Yuccagenin,ORXKASWXOVPKDV-UBWBUNFISA-N,ORXKASWXOVPKDV,Dioscorea tokoro,Dioscorea tokoro,Dioscorea tokoro Makino ex Miyabe,Dioscorea tokoro,Dioscoreaceae
1830,Diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,WQLVFSAGQJTQCK,Dioscorea militaris,Dioscorea triandria,Dioscorea triandria Sessé & Moc.,Dioscorea triandria,Dioscoreaceae
1743,Batatasin I,KGYHMWVRKYFQQR-UHFFFAOYSA-N,KGYHMWVRKYFQQR,Dioscorea trifida,Dioscorea trifida,Dioscorea trifida L.f.,Dioscorea trifida,Dioscoreaceae
1908,"Peonidin-3,5-diglucoside",NLSMPWTZYGSAEU-CYUNEVMDSA-N,NLSMPWTZYGSAEU,Dioscorea trifida,Dioscorea trifida,Dioscorea trifida L.f.,Dioscorea trifida,Dioscoreaceae
1818,Diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,WQLVFSAGQJTQCK,Dioscorea ulinei,Dioscorea ulinei,Dioscorea ulinei Greenm. ex R.Knuth,Dioscorea ulinei,Dioscoreaceae
1815,Diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,WQLVFSAGQJTQCK,Dioscorea urceolata,Dioscorea urceolata,Dioscorea urceolata Uline,Dioscorea urceolata,Dioscoreaceae
1972,22-O-Methylprotodioscin,HSSJYSJXBOCKQM-LXNCCRCLSA-N,HSSJYSJXBOCKQM,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1978,Asperin,OZIHYFWYFUSXIS-KORJSKJVSA-N,OZIHYFWYFUSXIS,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
2017,Balanitoside,RPYHJEFMMXMMHG-UHFFFAOYSA-N,RPYHJEFMMXMMHG,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1803,Collettiside III,VNONINPVFQTJOC-ZGXDEBHDSA-N,VNONINPVFQTJOC,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1784,Deltonin,OLAMGHNQGZIWHZ-YIKYYZBWSA-N,OLAMGHNQGZIWHZ,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1842,Gracillin,YQEMAEKYNNOCBY-IEMDQPGHSA-N,YQEMAEKYNNOCBY,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
2037,Huangjiangsu A,FTNRXHIYUXAZFP-UHFFFAOYSA-N,FTNRXHIYUXAZFP,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1983,Parvifloside,GJVYYBVWPSQRTC-MEIWCCOHSA-N,GJVYYBVWPSQRTC,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1988,Progenin II,ZUMDKMTZYHACBK-HCTICQNOSA-N,ZUMDKMTZYHACBK,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1853,Protodioscin,LVTJOONKWUXEFR-UEZXSUPNSA-N,LVTJOONKWUXEFR,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1993,Pseudoprotodioscin,MDCUMTGKKLOMCW-XNVNDPJESA-N,MDCUMTGKKLOMCW,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1865,Sarsaparilloside,SUHZCFHVHYUSEP-UVSPAHOSSA-N,SUHZCFHVHYUSEP,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa L.,Dioscorea villosa,Dioscoreaceae
1919,"(S)-2,3-Epoxysqualene",QYIMSPSDBYKPPY-BANQPHDMSA-N,QYIMSPSDBYKPPY,Dioscorea zingiberensis,Dioscorea zingiberensis,Dioscorea zingiberensis C.H.Wright,Dioscorea zingiberensis,Dioscoreaceae
1882,Cholesterol,HVYWMOMLDIMFJA-DPAQBDIFSA-N,HVYWMOMLDIMFJA,Dioscorea zingiberensis,Dioscorea zingiberensis,Dioscorea zingiberensis C.H.Wright,Dioscorea zingiberensis,Dioscoreaceae
1804,Collettiside III,VNONINPVFQTJOC-ZGXDEBHDSA-N,VNONINPVFQTJOC,Dioscorea zingiberensis,Dioscorea zingiberensis,Dioscorea zingiberensis C.H.Wright,Dioscorea zingiberensis,Dioscoreaceae
1883,Cycloartenol,ONQRKEUAIJMULO-YBXTVTTCSA-N,ONQRKEUAIJMULO,Dioscorea zingiberensis,Dioscorea zingiberensis,Dioscorea zingiberensis C.H.Wright,Dioscorea zingiberensis,Dioscoreaceae
1814,Diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,WQLVFSAGQJTQCK,Dioscorea zingiberensis,Dioscorea zingiberensis,Dioscorea zingiberensis C.H.Wright,Dioscorea zingiberensis,Dioscoreaceae
1836,Gracillin,YQEMAEKYNNOCBY-IEMDQPGHSA-N,YQEMAEKYNNOCBY,Dioscorea zingiberensis,Dioscorea zingiberensis,Dioscorea zingiberensis C.H.Wright,Dioscorea zingiberensis,Dioscoreaceae
1861,Protogracillin,GMCGZPQYTRHQRU-DKWQWWTLSA-N,GMCGZPQYTRHQRU,Dioscorea zingiberensis,Dioscorea zingiberensis,Dioscorea zingiberensis C.H.Wright,Dioscorea zingiberensis,Dioscoreaceae
656,Columbin,AALLCALQGXXWNA-QJNFORGASA-N,AALLCALQGXXWNA,Dioscoreophyllum cumminsii,Dioscoreophyllum cumminsii,Dioscoreophyllum cumminsii (Stapf) Diels,Dioscoreophyllum cumminsii,Menispermaceae
657,Columbin,AALLCALQGXXWNA-QJNFORGASA-N,AALLCALQGXXWNA,Dioscoreophyllum cummingsii,Dioscoreophyllum cumminsii,Dioscoreophyllum cumminsii (Stapf) Diels,Dioscoreophyllum cumminsii,Menispermaceae
658,Isocolumbin,AALLCALQGXXWNA-UKFLMKJWSA-N,AALLCALQGXXWNA,Dioscoreophyllum cumminsii,Dioscoreophyllum cumminsii,Dioscoreophyllum cumminsii (Stapf) Diels,Dioscoreophyllum cumminsii,Menispermaceae
554,(+)-Stepharine,OGJKMZVUJJYWKO-UHFFFAOYSA-N,OGJKMZVUJJYWKO,Diploclisia glaucescens Diels,Diploclisia glaucescens,Diploclisia glaucescens (Blume) Diels,Diploclisia glaucescens,Menispermaceae
551,20-Hydroxyecdysone,NKDFYOWSKOHCCO-YPVLXUMRSA-N,NKDFYOWSKOHCCO,Diploclisia glaucescens,Diploclisia glaucescens,Diploclisia glaucescens (Blume) Diels,Diploclisia glaucescens,Menispermaceae
550,Magnoflorine,YLRXAIKMLINXQY-ZDUSSCGKSA-O,YLRXAIKMLINXQY,Diploclisia glaucescens,Diploclisia glaucescens,Diploclisia glaucescens (Blume) Diels,Diploclisia glaucescens,Menispermaceae
552,Makisterone B,ZJISPMMPECVLMY-CSUDGKPCSA-N,ZJISPMMPECVLMY,Diploclisia glaucescens,Diploclisia glaucescens,Diploclisia glaucescens (Blume) Diels,Diploclisia glaucescens,Menispermaceae
553,Pterosterone,UMMBJCYNGLCGEF-OAUIFJKNSA-N,UMMBJCYNGLCGEF,Diploclisia glaucescens,Diploclisia glaucescens,Diploclisia glaucescens (Blume) Diels,Diploclisia glaucescens,Menispermaceae
1229,Calystegin A3,XOCBOVUINUHZJA-RKXXOXFUSA-N,XOCBOVUINUHZJA,Merremia cissoides,Distimake cissoides,Distimake cissoides (Lam.) A.R.Simões & Staples,Distimake cissoides,Convolvulaceae
1235,Calystegine B1,BQFFLYRIKODYEN-CXNFULCWSA-N,BQFFLYRIKODYEN,Merremia cissoides,Distimake cissoides,Distimake cissoides (Lam.) A.R.Simões & Staples,Distimake cissoides,Convolvulaceae
1237,Merresectine A,GWVGSKHNJYDCEQ-ONXXMXGDSA-N,GWVGSKHNJYDCEQ,Merremia dissecta,Distimake dissectus,Distimake dissectus (Jacq.) A.R.Simões & Staples,Distimake dissectus,Convolvulaceae
1238,Merresectine B,PTOHHQZBABICAF-UHFFFAOYSA-N,PTOHHQZBABICAF,Merremia dissecta,Distimake dissectus,Distimake dissectus (Jacq.) A.R.Simões & Staples,Distimake dissectus,Convolvulaceae
1239,Merresectine C,MYEROKWORYNFGZ-AIZNXBIQSA-N,MYEROKWORYNFGZ,Merremia dissecta,Distimake dissectus,Distimake dissectus (Jacq.) A.R.Simões & Staples,Distimake dissectus,Convolvulaceae
1236,Merrekentrone C,UWVQKUQCCZIUHK-UHFFFAOYSA-N,UWVQKUQCCZIUHK,Merremia kentrocaulos,Distimake kentrocaulos,Distimake kentrocaulos (C.B.Clarke) A.R.Simões & Staples,Distimake kentrocaulos,Convolvulaceae
1230,Calystegin B2,FXFBVZOJVHCEDO-NMACYSKISA-N,FXFBVZOJVHCEDO,Merremia quinquefolia,Distimake quinquefolius,Distimake quinquefolius (L.) A.R.Simões & Staples,Distimake quinquefolius,Convolvulaceae
1234,Calystegine B1,BQFFLYRIKODYEN-CXNFULCWSA-N,BQFFLYRIKODYEN,Merremia quinquefolia,Distimake quinquefolius,Distimake quinquefolius (L.) A.R.Simões & Staples,Distimake quinquefolius,Convolvulaceae
1240,Homospermidine,UODZHRGDSPLRMD-UHFFFAOYSA-N,UODZHRGDSPLRMD,Merremia quinquefolia,Distimake quinquefolius,Distimake quinquefolius (L.) A.R.Simões & Staples,Distimake quinquefolius,Convolvulaceae
6807,28-Norbrassinolide,CJNLSQRTIXIHGW-BNYRCUELSA-N,CJNLSQRTIXIHGW,Distylium racemosum,Distylium racemosum,Distylium racemosum Siebold & Zucc.,Distylium racemosum,Hamamelidaceae
6806,28-Norcastasterone,YNZRNENZMVIPBX-SCLBUMFYSA-N,YNZRNENZMVIPBX,Distylium racemosum,Distylium racemosum,Distylium racemosum Siebold & Zucc.,Distylium racemosum,Hamamelidaceae
6804,Brassinolide,IXVMHGVQKLDRKH-KNBKMWSGSA-N,IXVMHGVQKLDRKH,Distylium racemosum,Distylium racemosum,Distylium racemosum Siebold & Zucc.,Distylium racemosum,Hamamelidaceae
6805,Castasterone,VYUIKSFYFRVQLF-YLNAYWRASA-N,VYUIKSFYFRVQLF,Distylium racemosum,Distylium racemosum,Distylium racemosum Siebold & Zucc.,Distylium racemosum,Hamamelidaceae
3014,"5-Hydroxy-3,6,7,4'-tetramethoxyflavone",ADNCDMHZHONBRR-UHFFFAOYSA-N,ADNCDMHZHONBRR,Dodonaea lobulata,Dodonaea lobulata,Dodonaea lobulata F.Muell.,Dodonaea lobulata,Sapindaceae
3019,Isorhamnetin 3-galactoside-7-glucoside,ZYYJHXKSQKLEBL-XQWGAHDESA-N,ZYYJHXKSQKLEBL,Dodonaea madagascariensis,Dodonaea madagascariensis,Dodonaea madagascariensis Radlk.,Dodonaea madagascariensis,Sapindaceae
3010,"3,7,4'-Tri-O-methylkaempferol",WSQWAMGRHJQANC-UHFFFAOYSA-N,WSQWAMGRHJQANC,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3007,3-O-Caffeoylquinic acid,CWVRJTMFETXNAD-JUHZACGLSA-N,CWVRJTMFETXNAD,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3011,"5,7,4'-Trihydroxy-3,6-dimethoxyflavone",DDNPCXHBFYJXBJ-UHFFFAOYSA-N,DDNPCXHBFYJXBJ,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3013,"5-Hydroxy-3,6,7,4'-tetramethoxyflavone",ADNCDMHZHONBRR-UHFFFAOYSA-N,ADNCDMHZHONBRR,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3016,Aliarin,VLVYYPSDJMDDBM-UHFFFAOYSA-N,VLVYYPSDJMDDBM,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3018,Aliarin 4'-methyl ether,DKLGTRLGRWKLHB-UHFFFAOYSA-N,DKLGTRLGRWKLHB,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3006,Caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,QAIPRVGONGVQAS,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3015,Isorhamnetin,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,IZQSVPBOUDKVDZ,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3009,"Kaempferol 7,4'-dimethyl ether",KZBAXKKOXPLOBX-UHFFFAOYSA-N,KZBAXKKOXPLOBX,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3012,Penduletin,YSXFFLGRZJWNFM-UHFFFAOYSA-N,YSXFFLGRZJWNFM,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3017,Viscosol,NVPPDJQPJXYMLK-UHFFFAOYSA-N,NVPPDJQPJXYMLK,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
3008,beta-Stigmasterol,HCXVJBMSMIARIN-PHZDYDNGSA-N,HCXVJBMSMIARIN,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa Jacq.,Dodonaea viscosa,Sapindaceae
6206,Betanin,CTMLKIKAUFEMLE-FMOSSLLZSA-N,CTMLKIKAUFEMLE,Drosanthemum floribundum,Drosanthemum floribundum,Drosanthemum floribundum (Haw.) Schwantes,Drosanthemum floribundum,Aizoaceae
3783,Capric acid,GHVNFZFCNZKVNT-UHFFFAOYSA-N,GHVNFZFCNZKVNT,Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Caryophyllaceae
3784,Caproic acid,FUZZWVXGSFPDMH-UHFFFAOYSA-N,FUZZWVXGSFPDMH,Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Caryophyllaceae
3785,Lauric acid,POULHZVOKOAJMA-UHFFFAOYSA-N,POULHZVOKOAJMA,Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Caryophyllaceae
3786,Linoleic acid,OYHQOLUKZRVURQ-HZJYTTRNSA-N,OYHQOLUKZRVURQ,Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Caryophyllaceae
3787,Myristic acid,TUNFSRHWOTWDNC-UHFFFAOYSA-N,TUNFSRHWOTWDNC,Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Caryophyllaceae
3791,Octadecanoic acid,QIQXTHQIDYTFRH-UHFFFAOYSA-N,QIQXTHQIDYTFRH,Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Caryophyllaceae
3788,Octanoic acid,WWZKQHOCKIZLMA-UHFFFAOYSA-N,WWZKQHOCKIZLMA,Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Caryophyllaceae
3789,Oleic acid,ZQPPMHVWECSIRJ-MDZDMXLPSA-N,ZQPPMHVWECSIRJ,Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,Drymaria cordata,Caryophyllaceae
